https://ebird.org/species/whtrai1	meta property="og:title" content="White-throated Rail - eBird	<link rel="image_src" href="https://cdn.download.ams.birds.cornell.edu/api/v1/asset/211865951/900
https://ebird.org/species/amekes	meta property="og:title" content="American Kestrel - eBird	<link rel="image_src" href="https://cdn.download.ams.birds.cornell.edu/api/v1/asset/302366931/900
https://ebird.org/species/phgsta1	meta property="og:title" content="Purple-headed Starling - eBird	<link rel="image_src" href="https://cdn.download.ams.birds.cornell.edu/api/v1/asset/257200221/900
https://ebird.org/species/rultyr1	meta property="og:title" content="Rufous-lored Tyrannulet - eBird	<link rel="image_src" href="https://cdn.download.ams.birds.cornell.edu/api/v1/asset/322156961/900
https://ebird.org/species/indbus2	meta property="og:title" content="Indian Bushlark - eBird	<link rel="image_src" href="https://cdn.download.ams.birds.cornell.edu/api/v1/asset/149043751/900
https://ebird.org/species/aztthr	meta property="og:title" content="Aztec Thrush - eBird	<link rel="image_src" href="https://cdn.download.ams.birds.cornell.edu/api/v1/asset/243275521/900
https://ebird.org/species/whfter1	meta property="og:title" content="White-fronted Tern - eBird	<link rel="image_src" href="https://cdn.download.ams.birds.cornell.edu/api/v1/asset/117487721/900
https://ebird.org/species/amgplo	meta property="og:title" content="American Golden-Plover - eBird	<link rel="image_src" href="https://cdn.download.ams.birds.cornell.edu/api/v1/asset/297937901/900
https://ebird.org/species/sohwre1	meta property="og:title" content="Sooty-headed Wren - eBird	<link rel="image_src" href="https://cdn.download.ams.birds.cornell.edu/api/v1/asset/613606909/900
https://ebird.org/species/brosic1	meta property="og:title" content="Brown Sicklebill - eBird	<link rel="image_src" href="https://cdn.download.ams.birds.cornell.edu/api/v1/asset/274928541/900
https://ebird.org/species/bargoo	meta property="og:title" content="Barnacle Goose - eBird	<link rel="image_src" href="https://cdn.download.ams.birds.cornell.edu/api/v1/asset/161008611/900
https://ebird.org/species/eursco3	meta property="og:title" content="Cyprus Scops-Owl - eBird	<link rel="image_src" href="https://cdn.download.ams.birds.cornell.edu/api/v1/asset/346262201/900
https://ebird.org/species/burcou2	meta property="og:title" content="Burchell's Courser - eBird	<link rel="image_src" href="https://cdn.download.ams.birds.cornell.edu/api/v1/asset/218495711/900
https://ebird.org/species/hoopar1	meta property="og:title" content="Hooded Parrot - eBird	<link rel="image_src" href="https://cdn.download.ams.birds.cornell.edu/api/v1/asset/173294091/900
https://ebird.org/species/ultgro1	meta property="og:title" content="Ultramarine Grosbeak - eBird	<link rel="image_src" href="https://cdn.download.ams.birds.cornell.edu/api/v1/asset/81128861/900
https://ebird.org/species/grbwhi1	meta property="og:title" content="Green-backed Whistler - eBird	<link rel="image_src" href="https://cdn.download.ams.birds.cornell.edu/api/v1/asset/377440911/900
https://ebird.org/species/trista1	meta property="og:title" content="Tristram's Starling - eBird	<link rel="image_src" href="https://cdn.download.ams.birds.cornell.edu/api/v1/asset/140331141/900
https://ebird.org/species/vartit3	meta property="og:title" content="Chestnut-bellied Tit - eBird	<link rel="image_src" href="https://cdn.download.ams.birds.cornell.edu/api/v1/asset/85775551/900
https://ebird.org/species/gawtyr2	meta property="og:title" content="Gray-and-white Tyrannulet - eBird	<link rel="image_src" href="https://cdn.download.ams.birds.cornell.edu/api/v1/asset/207266211/900
https://ebird.org/species/dalpel1	meta property="og:title" content="Dalmatian Pelican - eBird	<link rel="image_src" href="https://cdn.download.ams.birds.cornell.edu/api/v1/asset/144004151/900
https://ebird.org/species/buffal1	meta property="og:title" content="Buckley's Forest-Falcon - eBird	<link rel="image_src" href="https://cdn.download.ams.birds.cornell.edu/api/v1/asset/320955311/900
https://ebird.org/species/whiwre1	meta property="og:title" content="Whiskered Wren - eBird	<link rel="image_src" href="https://cdn.download.ams.birds.cornell.edu/api/v1/asset/613607159/900
https://ebird.org/species/moutai2	meta property="og:title" content="Mountain Tailorbird - eBird	<link rel="image_src" href="https://cdn.download.ams.birds.cornell.edu/api/v1/asset/187385911/900
https://ebird.org/species/mosowl2	meta property="og:title" content="Mountain Scops-Owl - eBird	<link rel="image_src" href="https://cdn.download.ams.birds.cornell.edu/api/v1/asset/158686181/900
https://ebird.org/species/afrcit1	meta property="og:title" content="African Citril - eBird	<link rel="image_src" href="https://cdn.download.ams.birds.cornell.edu/api/v1/asset/248489711/900
https://ebird.org/species/pilotb1	meta property="og:title" content="Pilotbird - eBird	<link rel="image_src" href="https://cdn.download.ams.birds.cornell.edu/api/v1/asset/173648181/900
https://ebird.org/species/blypaf1	meta property="og:title" content="Blyth's Paradise-Flycatcher - eBird	<link rel="image_src" href="https://cdn.download.ams.birds.cornell.edu/api/v1/asset/177809511/900
https://ebird.org/species/rusbla	meta property="og:title" content="Rusty Blackbird - eBird	<link rel="image_src" href="https://cdn.download.ams.birds.cornell.edu/api/v1/asset/67375011/900
https://ebird.org/species/phgsta1	meta property="og:title" content="Purple-headed Starling - eBird	<link rel="image_src" href="https://cdn.download.ams.birds.cornell.edu/api/v1/asset/257200221/900
https://ebird.org/species/sbnthr1	meta property="og:title" content="Slaty-backed Nightingale-Thrush - eBird	<link rel="image_src" href="https://cdn.download.ams.birds.cornell.edu/api/v1/asset/245410631/900
https://ebird.org/species/gryjay	meta property="og:title" content="Canada Jay - eBird	<link rel="image_src" href="https://cdn.download.ams.birds.cornell.edu/api/v1/asset/70582941/900
https://ebird.org/species/rutbab1	meta property="og:title" content="Rufous-tailed Babbler - eBird	<link rel="image_src" href="https://cdn.download.ams.birds.cornell.edu/api/v1/asset/610068769/900
